"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Uijeongbu-si","Type of occupancy[households]","households","154558","157212","160020","164439","170040","178067","185533",
"Uijeongbu-si","Institutional households[households]","households","106","72","98","108","117","100","129",
"Uijeongbu-si","Foreigner household[households]","households","1548","1552","1654","1921","2075","2184","2300",
"Uijeongbu-si","Housing units-Total[Housing]","Housing","129368","133295","138767","143102","150397","157778","161749",
"Uijeongbu-si","Detached dwelling[Housing]","Housing","14092","13940","13649","13158","12824","12544","12320",
"Uijeongbu-si","Apartment[Housing]","Housing","94015","96969","101039","104963","112432","119925","123866",
"Uijeongbu-si","Row house[Housing]","Housing","2601","2641","2663","2858","2882","2890","2955",
"Uijeongbu-si","Apartment unit ina private house[Housing]","Housing","17571","18661","20301","21018","21159","21329","21553",
"Uijeongbu-si","House within commercial building[Housing]","Housing","1089","1084","1115","1105","1100","1090","1055",
"Uijeongbu-si","Living quaters other than housing unit[Housing]","Housing","3419","4141","4114","4513","4950","6410","7430",
"Anyang-si","Total population[Person]","Person","585177","582049","576697","566574","557339","542336","538929",
"Anyang-si","Male[Person]","Person","290592","288694","285721","280358","275659","267405","265951",
"Anyang-si","Female[Person]","Person","294585","293355","290976","286216","281680","274931","272978",
"Anyang-si","Korean - total[Person]","Person","575752","572549","566976","556062","546191","531584","528599",
"Anyang-si","Korean - male[Person]","Person","285958","284027","281009","275201","270130","262254","260994",
"Anyang-si","Korean - Female[Person]","Person","289794","288522","285967","280861","276061","269330","267605",
"Anyang-si","Foreigner-Total[Person]","Person","9425","9500","9721","10512","11148","10752","10330",
"Anyang-si","Foreigner-Male[Person]","Person","4634","4667","4712","5157","5529","5151","4957",
"Anyang-si","Foreigner-Female[Person]","Person","4791","4833","5009","5355","5619","5601","5373",
"Anyang-si","Household-Total[households]","households","209332","209564","209878","209134","209927","207634","212327",
"Anyang-si","Type of occupancy[households]","households","205482","205736","205965","204984","205695","203441","208284",
"Anyang-si","Institutional households[households]","households","88","72","92","94","87","84","94",
"Anyang-si","Foreigner household[households]","households","3762","3756","3821","4056","4145","4109","3949",
"Anyang-si","Housing units-Total[Housing]","Housing","172042","175355","178175","177651","178130","178613","178209",
"Anyang-si","Detached dwelling[Housing]","Housing","11734","11577","10756","10055","9588","9400","8654",
"Anyang-si","Apartment[Housing]","Housing","123578","125375","128918","129814","130792","131020","133312",
"Anyang-si","Row house[Housing]","Housing","3998","4029","3674","3310","3349","3470","3354",
"Anyang-si","Apartment unit ina private house[Housing]","Housing","31418","33091","33496","33206","33166","33494","31713",
"Anyang-si","House within commercial building[Housing]","Housing","1314","1283","1331","1266","1235","1229","1176",
"Anyang-si","Living quaters other than housing unit[Housing]","Housing","5576","6246","7419","7945","9975","11060","12471",
"Manan-gu","Total population[Person]","Person","245305","244472","254107","251818","246200","240986","240501",
"Manan-gu","Male[Person]","Person","122912","122449","127061","125781","122820","119998","119862",
"Manan-gu","Female[Person]","Person","122393","122023","127046","126037","123380","120988","120639",
"Manan-gu","Korean - total[Person]","Person","238748","237665","246822","243891","237827","232745","232576",
"Manan-gu","Korean - male[Person]","Person","119653","119091","123485","121862","118626","115942","115922",
"Manan-gu","Korean - Female[Person]","Person","119095","118574","123337","122029","119201","116803","116654",
"Manan-gu","Foreigner-Total[Person]","Person","6557","6807","7285","7927","8373","8241","7925",
"Manan-gu","Foreigner-Male[Person]","Person","3259","3358","3576","3919","4194","4056","3940",
"Manan-gu","Foreigner-Female[Person]","Person","3298","3449","3709","4008","4179","4185","3985",
"Manan-gu","Household-Total[households]","households","91148","91285","95791","96350","95935","95798","98326",
"Manan-gu","Type of occupancy[households]","households","88356","88413","92768","93094","92620","92486","95136",
"Manan-gu","Institutional households[households]","households","55","50","66","69","65","62","73",
"Manan-gu","Foreigner household[households]","households","2737","2822","2957","3187","3250","3250","3117",
"Manan-gu","Housing units-Total[Housing]","Housing","68440","70413","74205","75625","76286","77113","76401",
"Manan-gu","Detached dwelling[Housing]","Housing","7470","7340","7094","6833","6643","6568","6114",
"Manan-gu","Apartment[Housing]","Housing","39681","40577","44318","45236","45698","46176","46027",
"Manan-gu","Row house[Housing]","Housing","2127","2103","1956","2019","2082","2194","2235",
"Manan-gu","Apartment unit ina private house[Housing]","Housing","18426","19681","20081","20788","21119","21425","21287",
"Manan-gu","House within commercial building[Housing]","Housing","736","712","756","749","744","750","738",
"Manan-gu","Living quaters other than housing unit[Housing]","Housing","1543","1785","2493","2775","3404","4139","5163",
"Dongan-gu","Total population[Person]","Person","339872","337577","322590","314756","311139","301350","298428",
"Dongan-gu","Male[Person]","Person","167680","166245","158660","154577","152839","147407","146089",
"Dongan-gu","Female[Person]","Person","172192","171332","163930","160179","158300","153943","152339",
"Dongan-gu","Korean - total[Person]","Person","337004","334884","320154","312171","308364","298839","296023",
"Dongan-gu","Korean - male[Person]","Person","166305","164936","157524","153339","151504","146312","145072",
"Dongan-gu","Korean - Female[Person]","Person","170699","169948","162630","158832","156860","152527","150951",
"Dongan-gu","Foreigner-Total[Person]","Person","2868","2693","2436","2585","2775","2511","2405",
"Dongan-gu","Foreigner-Male[Person]","Person","1375","1309","1136","1238","1335","1095","1017",
"Dongan-gu","Foreigner-Female[Person]","Person","1493","1384","1300","1347","1440","1416","1388",
"Dongan-gu","Household-Total[households]","households","118184","118279","114087","112784","113992","111836","114001",
"Dongan-gu","Type of occupancy[households]","households","117126","117323","113197","111890","113075","110955","113148",
"Dongan-gu","Institutional households[households]","households","33","22","26","25","22","22","21",
"Dongan-gu","Foreigner household[households]","households","1025","934","864","869","895","859","832",
"Dongan-gu","Housing units-Total[Housing]","Housing","103602","104942","103970","102026","101844","101500","101808",
"Dongan-gu","Detached dwelling[Housing]","Housing","4264","4237","3662","3222","2945","2832","2540",
"Dongan-gu","Apartment[Housing]","Housing","83897","84798","84600","84578","85094","84844","87285",
"Dongan-gu","Row house[Housing]","Housing","1871","1926","1718","1291","1267","1276","1119",
"Dongan-gu","Apartment unit ina private house[Housing]","Housing","12992","13410","13415","12418","12047","12069","10426",
"Dongan-gu","House within commercial building[Housing]","Housing","578","571","575","517","491","479","438",
"Dongan-gu","Living quaters other than housing unit[Housing]","Housing","4033","4461","4926","5170","6571","6921","7308",
"Bucheon-si","Total population[Person]","Person","843794","844043","845514","848756","836751","833148","822635",
"Bucheon-si","Male[Person]","Person","420867","419916","420656","421816","415264","412302","406604",
"Bucheon-si","Female[Person]","Person","422927","424127","424858","426940","421487","420846","416031",
"Bucheon-si","Korean - total[Person]","Person","819038","819205","817493","815331","801074","794155","782913",
"Bucheon-si","Korean - male[Person]","Person","408092","407363","406520","404899","397134","392770","386819",
"Bucheon-si","Korean - Female[Person]","Person","410946","411842","410973","410432","403940","401385","396094",
"Bucheon-si","Foreigner-Total[Person]","Person","24756","24838","28021","33425","35677","38993","39722",
"Bucheon-si","Foreigner-Male[Person]","Person","12775","12553","14136","16917","18130","19532","19785",
"Bucheon-si","Foreigner-Female[Person]","Person","11981","12285","13885","16508","17547","19461","19937",
"Bucheon-si","Household-Total[households]","households","310306","313624","318135","323631","324811","329594","333478",
"Bucheon-si","Type of occupancy[households]","households","301530","304268","307764","311868","311910","315696","318968",
"Bucheon-si","Institutional households[households]","households","193","145","186","218","199","205","227",
"Bucheon-si","Foreigner household[households]","households","8583","9211","10185","11545","12702","13693","14283",
"Bucheon-si","Housing units-Total[Housing]","Housing","247576","254438","257849","265529","267622","271570","273723",
"Bucheon-si","Detached dwelling[Housing]","Housing","20595","18782","18540","18093","17419","17057","16688",
"Bucheon-si","Apartment[Housing]","Housing","138586","142647","144531","150842","151839","155701","157970",
"Bucheon-si","Row house[Housing]","Housing","8212","8002","7842","7773","7381","7329","7146",
"Bucheon-si","Apartment unit ina private house[Housing]","Housing","78243","82234","84161","86086","88301","88823","89310",
"Bucheon-si","House within commercial building[Housing]","Housing","1940","2773","2775","2735","2682","2660","2609",
"Bucheon-si","Living quaters other than housing unit[Housing]","Housing","13385","14963","17709","19059","20243","22470","24012",
"Wonmi-gu","Total population[Person]","Person","440396","","","","","","",
"Wonmi-gu","Male[Person]","Person","218373","","","","","","",
"Wonmi-gu","Female[Person]","Person","222023","","","","","","",
"Wonmi-gu","Korean - total[Person]","Person","427669","","","","","","",
"Wonmi-gu","Korean - male[Person]","Person","211876","","","","","","",
"Wonmi-gu","Korean - Female[Person]","Person","215793","","","","","","",
"Wonmi-gu","Foreigner-Total[Person]","Person","12727","","","","","","",
"Wonmi-gu","Foreigner-Male[Person]","Person","6497","","","","","","",
"Wonmi-gu","Foreigner-Female[Person]","Person","6230","","","","","","",
"Wonmi-gu","Household-Total[households]","households","161749","","","","","","",
"Wonmi-gu","Type of occupancy[households]","households","157113","","","","","","",
"Wonmi-gu","Institutional households[households]","households","124","","","","","","",
