"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Seongbuk-gu","Apartment unit ina private house[Housing]","Housing","23097","24748","25902","26446","28315","29213","29900",
"Seongbuk-gu","House within commercial building[Housing]","Housing","1526","1469","1515","1490","1465","1420","1380",
"Seongbuk-gu","Living quaters other than housing unit[Housing]","Housing","2965","3159","3385","3378","3474","3730","4115",
"Gangbuk-gu","Total population[Person]","Person","319992","316212","313698","309138","303871","299535","292611",
"Gangbuk-gu","Male[Person]","Person","156386","154407","152464","150028","147112","144779","141265",
"Gangbuk-gu","Female[Person]","Person","163606","161805","161234","159110","156759","154756","151346",
"Gangbuk-gu","Korean - total[Person]","Person","315754","311917","309255","304191","298525","294351","287693",
"Gangbuk-gu","Korean - male[Person]","Person","154667","152689","150745","148057","145024","142837","139416",
"Gangbuk-gu","Korean - Female[Person]","Person","161087","159228","158510","156134","153501","151514","148277",
"Gangbuk-gu","Foreigner-Total[Person]","Person","4238","4295","4443","4947","5346","5184","4918",
"Gangbuk-gu","Foreigner-Male[Person]","Person","1719","1718","1719","1971","2088","1942","1849",
"Gangbuk-gu","Foreigner-Female[Person]","Person","2519","2577","2724","2976","3258","3242","3069",
"Gangbuk-gu","Household-Total[households]","households","127462","127371","129204","129610","130161","131884","132458",
"Gangbuk-gu","Type of occupancy[households]","households","125666","125580","127281","127551","128012","129805","130329",
"Gangbuk-gu","Institutional households[households]","households","82","59","68","98","72","72","92",
"Gangbuk-gu","Foreigner household[households]","households","1714","1732","1855","1961","2077","2007","2037",
"Gangbuk-gu","Housing units-Total[Housing]","Housing","91806","93623","94526","95097","97070","97452","97840",
"Gangbuk-gu","Detached dwelling[Housing]","Housing","19393","18870","18369","18185","18017","17557","17261",
"Gangbuk-gu","Apartment[Housing]","Housing","32651","32652","33458","33282","34590","34733","34875",
"Gangbuk-gu","Row house[Housing]","Housing","4854","4915","4882","4881","4748","4789","4834",
"Gangbuk-gu","Apartment unit ina private house[Housing]","Housing","33820","36136","36743","37671","38645","39331","39859",
"Gangbuk-gu","House within commercial building[Housing]","Housing","1088","1050","1074","1078","1070","1042","1011",
"Gangbuk-gu","Living quaters other than housing unit[Housing]","Housing","2025","2052","2220","2322","2348","2539","2733",
"Dobong-gu","Total population[Person]","Person","340095","336745","332586","328243","323543","315979","309200",
"Dobong-gu","Male[Person]","Person","166187","164407","161944","159569","156961","153080","149413",
"Dobong-gu","Female[Person]","Person","173908","172338","170642","168674","166582","162899","159787",
"Dobong-gu","Korean - total[Person]","Person","337541","334165","329957","325292","320223","312852","306168",
"Dobong-gu","Korean - male[Person]","Person","165130","163364","160885","158370","155581","151906","148314",
"Dobong-gu","Korean - Female[Person]","Person","172411","170801","169072","166922","164642","160946","157854",
"Dobong-gu","Foreigner-Total[Person]","Person","2554","2580","2629","2951","3320","3127","3032",
"Dobong-gu","Foreigner-Male[Person]","Person","1057","1043","1059","1199","1380","1174","1099",
"Dobong-gu","Foreigner-Female[Person]","Person","1497","1537","1570","1752","1940","1953","1933",
"Dobong-gu","Household-Total[households]","households","125952","126297","126940","127249","127843","128378","129498",
"Dobong-gu","Type of occupancy[households]","households","124981","125384","125974","126286","126831","127362","128439",
"Dobong-gu","Institutional households[households]","households","64","37","60","76","58","49","73",
"Dobong-gu","Foreigner household[households]","households","907","876","906","887","954","967","986",
