"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Daegu","45-49 Years old","Sex ratio","","","","","","","97.86","100.16","101.69","98.94","98.38","95.9",
"Daegu","50-54 Years old","Population[Person]","Person","","","","","","75360","96832","110609","131249","157087","200207",
"Daegu","50-54 Years old","Male[Person]","Person","","","","","","36213","47604","54714","65427","76926","98394",
"Daegu","50-54 Years old","Female[Person]","Person","","","","","","39147","49228","55895","65822","80161","101813",
"Daegu","50-54 Years old","Sex ratio","","","","","","","92.51","96.7","97.89","99.4","95.96","96.6",
"Daegu","55-59 Years old","Population[Person]","Person","","","","","","50679","71960","96492","102887","122302","148331",
"Daegu","55-59 Years old","Male[Person]","Person","","","","","","21900","34021","46372","49891","59951","71571",
"Daegu","55-59 Years old","Female[Person]","Person","","","","","","28779","37939","50120","52996","62351","76760",
"Daegu","55-59 Years old","Sex ratio","","","","","","","76.1","89.67","92.52","94.14","96.15","93.2",
"Daegu","60-64 Years old","Population[Person]","Person","","","","","","38271","47037","70548","88193","95533","113154",
"Daegu","60-64 Years old","Male[Person]","Person","","","","","","15821","19441","31942","41150","44998","54023",
"Daegu","60-64 Years old","Female[Person]","Person","","","","","","22450","27596","38606","47043","50535","59131",
"Daegu","60-64 Years old","Sex ratio","","","","","","","70.47","70.45","82.74","87.47","89.04","91.4",
"Daegu","65-69 Years old","Population[Person]","Person","","","","","","26325","35271","45600","63752","80557","89508",
"Daegu","65-69 Years old","Male[Person]","Person","","","","","","10069","13512","17815","27561","36042","40516",
"Daegu","65-69 Years old","Female[Person]","Person","","","","","","16256","21759","27785","36191","44515","48992",
"Daegu","65-69 Years old","Sex ratio","","","","","","","61.94","62.1","64.12","76.15","80.97","82.7",
"Daegu","70-74 Years old","Population[Person]","Person","","","","","","18535","22952","32134","39789","57278","74175",
"Daegu","70-74 Years old","Male[Person]","Person","","","","","","6107","7886","11445","14589","23542","31426",
"Daegu","70-74 Years old","Female[Person]","Person","","","","","","12428","15066","20689","25200","33736","42749",
"Daegu","70-74 Years old","Sex ratio","","","","","","","49.14","52.34","55.32","57.89","69.78","73.5",
"Daegu","75-79 Years old","Population[Person]","Person","","","","","","10871","13995","18612","24902","32541","48893",
"Daegu","75-79 Years old","Male[Person]","Person","","","","","","3037","4065","5856","8102","11145","18491",
"Daegu","75-79 Years old","Female[Person]","Person","","","","","","7834","9930","12756","16800","21396","30402",
"Daegu","75-79 Years old","Sex ratio","","","","","","","38.77","40.94","45.91","48.23","52.09","60.8",
"Daegu","80-84 Years old","Population[Person]","Person","","","","","","4279","7167","9951","12182","17430","24970",
"Daegu","80-84 Years old","Male[Person]","Person","","","","","","998","1804","2589","3369","5111","7598",
"Daegu","80-84 Years old","Female[Person]","Person","","","","","","3281","5363","7362","8813","12319","17372",
"Daegu","80-84 Years old","Sex ratio","","","","","","","30.42","33.64","35.17","38.23","41.49","43.7",
"Daegu","85 Years old & over","Population[Person]","Person","","","","","","1827","2848","4891","6493","8716","13970",
"Daegu","85 Years old & over","Male[Person]","Person","","","","","","288","554","973","1422","2005","3443",
"Daegu","85 Years old & over","Female[Person]","Person","","","","","","1539","2294","3918","5071","6711","10527",
"Daegu","85 Years old & over","Sex ratio","","","","","","","18.71","24.15","24.83","28.04","29.88","32.7",
"Daegu","Age unknown","Population[Person]","Person","","","","","","","4","11","118","0","",
"Daegu","Age unknown","Male[Person]","Person","","","","","","","3","7","72","0","",
"Daegu","Age unknown","Female[Person]","Person","","","","","","","1","4","46","0","",
"Daegu","Age unknown","Sex ratio","","","","","","","","300","175","156.52","0","",
"Daegu","14 and under","Population[Person]","Person","","","","","","","","559020","514028","466750","388204",
"Daegu","14 and under","Male[Person]","Person","","","","","","","","304473","282352","251587","204719",
"Daegu","14 and under","Female[Person]","Person","","","","","","","","254547","231676","215163","183485",
"Daegu","14 and under","Sex ratio","","","","","","","","","119.61","121.87","116.93","111.6",
"Daegu","15 - 64 Years old","Population[Person]","Person","","","","","","","","1775069","1812726","1792744","1792054",
"Daegu","15 - 64 Years old","Male[Person]","Person","","","","","","","","888451","906214","897736","898235",
"Daegu","15 - 64 Years old","Female[Person]","Person","","","","","","","","886618","906512","895008","893819",
"Daegu","15 - 64 Years old","Sex ratio","","","","","","","","","100.21","99.97","100.3","100.5",
"Daegu","65 Years old","Population[Person]","Person","","","","","","","","111188","147118","196522","251516",
"Daegu","65 Years old","Male[Person]","Person","","","","","","","","38678","55043","77845","101474",
"Daegu","65 Years old","Female[Person]","Person","","","","","","","","72510","92075","118677","150042",
"Daegu","65 Years old","Sex ratio","","","","","","","","","53.34","59.78","65.59","67.6",
"Daegu","Mean age","Population[Person]","Person","","","","","","","","","32.6","35.17","37.9",
"Daegu","Mean age","Male[Person]","Person","","","","","","","","","31.3","33.79","36.5",
"Daegu","Mean age","Female[Person]","Person","","","","","","","","","34","36.55","39.4",
"Daegu","Mean age","Sex ratio","","","","","","","","","","","0","",
"Daegu","Median age","Population[Person]","Person","","","","","","","","","31.5","34.82","38.5",
"Daegu","Median age","Male[Person]","Person","","","","","","","","","30.2","33.37","36.9",
"Daegu","Median age","Female[Person]","Person","","","","","","","","","32.8","36.21","39.9",
"Daegu","Median age","Sex ratio","","","","","","","","","","","0","",
"Incheon","Total","Population[Person]","Person","","","","","","1384916","1816328","2304176","2466338","2517680","2632035",
"Incheon","Total","Male[Person]","Person","","","","","","691447","914238","1163419","1244327","1262612","1315562",
"Incheon","Total","Female[Person]","Person","","","","","","693469","902090","1140757","1222011","1255068","1316473",
"Incheon","Total","Sex ratio","","","","","","","99.71","101.35","101.99","101.83","100.6","99.9",
"Incheon","0-4 Years old","Population[Person]","Person","","","","","","151593","172078","213839","180783","129517","125447",
"Incheon","0-4 Years old","Male[Person]","Person","","","","","","78555","89111","112373","94263","66723","64454",
"Incheon","0-4 Years old","Female[Person]","Person","","","","","","73038","82967","101466","86520","62794","60993",
"Incheon","0-4 Years old","Sex ratio","","","","","","","107.55","107.41","110.75","108.95","106.26","105.7",
"Incheon","5-9 Years old","Population[Person]","Person","","","","","","136428","174927","185199","212463","177485","133355",
"Incheon","5-9 Years old","Male[Person]","Person","","","","","","70394","90324","95731","111566","92087","68755",
"Incheon","5-9 Years old","Female[Person]","Person","","","","","","66034","84603","89468","100897","85398","64600",
"Incheon","5-9 Years old","Sex ratio","","","","","","","106.6","106.76","107","110.57","107.83","106.4",
"Incheon","10-14 Years old","Population[Person]","Person","","","","","","128438","150166","191970","180367","203195","178382",
"Incheon","10-14 Years old","Male[Person]","Person","","","","","","66503","76973","98514","93565","105924","92571",
"Incheon","10-14 Years old","Female[Person]","Person","","","","","","61935","73193","93456","86802","97271","85811",
"Incheon","10-14 Years old","Sex ratio","","","","","","","107.38","105.16","105.41","107.79","108.9","107.9",
"Incheon","15-19 Years old","Population[Person]","Person","","","","","","132276","155424","173215","192180","174442","198204",
"Incheon","15-19 Years old","Male[Person]","Person","","","","","","65344","78593","88952","99349","90318","104048",
"Incheon","15-19 Years old","Female[Person]","Person","","","","","","66932","76831","84263","92831","84124","94156",
"Incheon","15-19 Years old","Sex ratio","","","","","","","97.63","102.29","105.56","107.02","107.36","110.5",
"Incheon","20-24 Years old","Population[Person]","Person","","","","","","154653","172352","198012","186886","195288","173656",
"Incheon","20-24 Years old","Male[Person]","Person","","","","","","72109","83052","100344","97709","101770","91191",
"Incheon","20-24 Years old","Female[Person]","Person","","","","","","82544","89300","97668","89177","93518","82465",
"Incheon","20-24 Years old","Sex ratio","","","","","","","87.36","93","102.74","109.57","108.82","110.6",
"Incheon","25-29 Years old","Population[Person]","Person","","","","","","179341","226562","229842","214546","193826","200048",
"Incheon","25-29 Years old","Male[Person]","Person","","","","","","88339","110133","111249","105843","98072","101564",
"Incheon","25-29 Years old","Female[Person]","Person","","","","","","91002","116429","118593","108703","95754","98484",
"Incheon","25-29 Years old","Sex ratio","","","","","","","97.07","94.59","93.81","97.37","102.42","103.1",
"Incheon","30-34 Years old","Population[Person]","Person","","","","","","130825","222843","269440","239400","223087","207697",
"Incheon","30-34 Years old","Male[Person]","Person","","","","","","68539","116496","136203","117999","111890","106099",
"Incheon","30-34 Years old","Female[Person]","Person","","","","","","62286","106347","133237","121401","111197","101598",
"Incheon","30-34 Years old","Sex ratio","","","","","","","110.04","109.54","102.23","97.2","100.62","104.4",
"Incheon","35-39 Years old","Population[Person]","Person","","","","","","96284","146017","248017","265382","236153","232540",
"Incheon","35-39 Years old","Male[Person]","Person","","","","","","51877","78370","130974","134548","116658","117276",
"Incheon","35-39 Years old","Female[Person]","Person","","","","","","44407","67647","117043","130834","119495","115264",
"Incheon","35-39 Years old","Sex ratio","","","","","","","116.82","115.85","111.9","102.84","97.63","101.7",
"Incheon","40-44 Years old","Population[Person]","Person","","","","","","70491","102056","156462","237275","251663","240289",
"Incheon","40-44 Years old","Male[Person]","Person","","","","","","37564","55720","84059","124237","127180","118836",
"Incheon","40-44 Years old","Female[Person]","Person","","","","","","32927","46336","72403","113038","124483","121453",
"Incheon","40-44 Years old","Sex ratio","","","","","","","114.08","120.25","116.1","109.91","102.17","97.8",
"Incheon","45-49 Years old","Population[Person]","Person","","","","","","58609","77025","113673","151523","223548","248709",
"Incheon","45-49 Years old","Male[Person]","Person","","","","","","29760","40438","60541","79369","114977","124696",
"Incheon","45-49 Years old","Female[Person]","Person","","","","","","28849","36587","53132","72154","108571","124013",
"Incheon","45-49 Years old","Sex ratio","","","","","","","103.16","110.53","113.94","110","105.9","100.6",
"Incheon","50-54 Years old","Population[Person]","Person","","","","","","45432","64489","86702","110898","143172","217853",
"Incheon","50-54 Years old","Male[Person]","Person","","","","","","21622","31943","44259","58083","73657","110606",
"Incheon","50-54 Years old","Female[Person]","Person","","","","","","23810","32546","42443","52815","69515","107247",
"Incheon","50-54 Years old","Sex ratio","","","","","","","90.81","98.15","104.28","109.97","105.96","103.1",
"Incheon","55-59 Years old","Population[Person]","Person","","","","","","33355","51609","75647","85067","106052","140003",
